t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
0.512,-0.37383,-1.4963,0.92547,-0.62182,-1.3962,1.2077,0.6356876,0.6439012,-0.84639347,0.72748072,-1.13023169,0.82530616
0.52,-0.36942,-1.4917,0.91953,-0.61654,-1.404,1.2135,0.56342257,0.58119192,-0.75759103,0.66645426,-1.00190471,0.73027112
0.528,-0.36466,-1.4869,0.91339,-0.61115,-1.4125,1.2195,0.55608419,0.57256286,-0.74081662,0.65986758,-0.98922944,0.71598245
0.536,-0.35873,-1.4816,0.9064,-0.60533,-1.4231,1.2269,0.65114183,0.62236045,-0.80650674,0.69371886,-1.15920148,0.81805408
0.544,-0.35118,-1.4753,0.89825,-0.59897,-1.4365,1.236,0.8476943,0.7299591,-0.95379966,0.76747588,-1.51021684,1.03541823
0.552,-0.3427,-1.4689,0.88972,-0.59264,-1.4517,1.246,1.02079622,0.80862561,-1.06322085,0.80734886,-1.81988578,1.22003192
0.56,-0.33417,-1.4628,0.88177,-0.58702,-1.4669,1.2559,1.0820958,0.79702892,-1.05028706,0.76115932,-1.93095132,1.26721047
0.568,-0.3263,-1.4578,0.87511,-0.58256,-1.481,1.2647,1.03251473,0.6962431,-0.91643969,0.63011779,-1.84503892,1.17824
0.576,-0.31932,-1.4536,0.86964,-0.57905,-1.4935,1.2724,0.93102283,0.57498648,-0.7538968,0.49167165,-1.66614247,1.03540434
0.584,-0.31334,-1.4501,0.86516,-0.57619,-1.5042,1.2789,0.81286856,0.4743346,-0.61778062,0.39211414,-1.45642306,0.88788761
0.592,-0.30822,-1.4472,0.86139,-0.57371,-1.5134,1.2845,0.68034545,0.39460641,-0.50852549,0.33093943,-1.22002176,0.7378016
0.6,-0.30312,-1.4445,0.85794,-0.57153,-1.5225,1.2899,0.61926413,0.34773462,-0.44238241,0.28922308,-1.11187393,0.66415669
0.608,-0.29714,-1.4416,0.85441,-0.56957,-1.5333,1.2961,0.67316812,0.33977433,-0.42759776,0.2573621,-1.21059953,0.7070457
0.616,-0.28978,-1.4386,0.85066,-0.56787,-1.5466,1.3036,0.83726385,0.36843402,-0.46109202,0.23395495,-1.50762124,0.86142814
0.624,-0.28142,-1.4357,0.84711,-0.56673,-1.5617,1.3119,0.99274464,0.3769188,-0.46654054,0.18426462,-1.79035276,1.00237672
0.632,-0.27253,-1.4333,0.84424,-0.56648,-1.5777,1.3206,1.08831838,0.34070878,-0.41099188,0.09329418,-1.96701474,1.07595694
